work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,work_type
2020,Entry,Full-time,Data Analyst,91000,US,100,US,Large,Remote
2020,Entry,Full-time,AI Scientist,45896,DK,50,DK,Small,Hybrid
2020,Entry,Full-time,Data Engineer,54742,PK,100,DE,Large,Remote
2020,Senior,Freelance,Computer Vision Engineer,60000,RU,100,US,Small,Remote
2020,Senior,Full-time,Principal Data Scientist,148261,DE,100,DE,Medium,Remote
2020,Mid,Full-time,Data Scientist,38776,ES,100,ES,Medium,Remote
2020,Mid,Full-time,Data Scientist,118000,US,100,US,Medium,Remote
2020,Senior,Full-time,Data Scientist,120000,US,50,US,Large,Hybrid
2020,Mid,Full-time,Data Scientist,138350,US,100,US,Medium,Remote
2020,Mid,Full-time,Data Engineer,110000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Engineer,130800,ES,100,US,Medium,Remote
2020,Entry,Part-time,Data Scientist,21669,IT,50,IT,Small,Hybrid
2020,Senior,Full-time,Data Scientist,412000,US,100,US,Large,Remote
2020,Senior,Full-time,Machine Learning Engineer,45618,HR,100,HR,Small,Remote
2020,Entry,Full-time,Data Scientist,62726,DE,50,DE,Small,Hybrid
2020,Entry,Full-time,Data Scientist,49268,DE,0,DE,Small,Onsite
2020,Senior,Full-time,Data Science Manager,190200,US,100,US,Medium,Remote
2020,Entry,Full-time,Data Scientist,105000,US,100,US,Small,Remote
2020,Senior,Full-time,Data Scientist,91237,AT,0,AT,Small,Onsite
2020,Mid,Full-time,Data Scientist,62726,FR,50,LU,Small,Hybrid
2020,Mid,Full-time,Data Scientist,42197,FR,50,FR,Small,Hybrid
2021,Entry,Full-time,Research Scientist,82528,GB,50,GB,Large,Hybrid
2021,Executive,Full-time,BI Data Analyst,150000,IN,100,US,Large,Remote
2021,Executive,Full-time,Head of Data,235000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Scientist,53192,FR,50,FR,Large,Hybrid
2021,Mid,Full-time,BI Data Analyst,100000,US,100,US,Medium,Remote
2021,Mid,Part-time,3D Computer Vision Researcher,5409,IN,50,IN,Medium,Hybrid
2021,Mid,Contract,ML Engineer,270000,US,100,US,Large,Remote
2021,Entry,Full-time,Data Analyst,80000,US,100,US,Medium,Remote
2021,Senior,Full-time,Data Analytics Engineer,79197,DE,100,DE,Large,Remote
2021,Mid,Full-time,Data Engineer,140000,US,100,US,Large,Remote
2021,Mid,Full-time,Applied Data Scientist,54238,GB,50,CA,Large,Hybrid
2021,Mid,Full-time,Machine Learning Engineer,47282,ES,100,ES,Small,Remote
2021,Executive,Full-time,Director of Data Science,153667,IT,100,PL,Large,Remote
2021,Mid,Full-time,Data Engineer,28476,PL,100,PL,Large,Remote
2021,Entry,Full-time,Data Analyst,59102,FR,50,FR,Medium,Hybrid
2021,Mid,Full-time,Data Analytics Engineer,110000,US,100,US,Large,Remote
2021,Senior,Full-time,Lead Data Analyst,170000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Analyst,80000,BG,100,US,Small,Remote
2021,Senior,Full-time,Marketing Data Analyst,88654,GR,100,DK,Large,Remote
2021,Entry,Full-time,Data Science Consultant,76833,DE,100,DE,Small,Remote
2021,Mid,Full-time,Lead Data Analyst,19609,IN,100,IN,Large,Remote
2021,Senior,Full-time,Lead Data Engineer,276000,US,0,US,Large,Onsite
2021,Entry,Full-time,Data Scientist,29751,IN,50,IN,Large,Hybrid
2021,Mid,Full-time,Cloud Data Engineer,89294,SG,50,SG,Large,Hybrid
2021,Entry,Part-time,AI Scientist,12000,BR,100,US,Small,Remote
2021,Mid,Full-time,Financial Data Analyst,450000,US,100,US,Large,Remote
2021,Entry,Full-time,Computer Vision Software Engineer,70000,US,100,US,Medium,Remote
2021,Mid,Full-time,Computer Vision Software Engineer,95746,DE,100,US,Small,Remote
2021,Mid,Full-time,Data Analyst,75000,US,0,US,Large,Onsite
2021,Senior,Full-time,Data Engineer,150000,US,100,US,Large,Remote
2021,Mid,Full-time,BI Data Analyst,36259,HU,50,US,Large,Hybrid
2021,Mid,Full-time,Data Analyst,62000,US,0,US,Large,Onsite
2021,Mid,Full-time,Data Scientist,73000,US,0,US,Large,Onsite
2021,Mid,Full-time,Data Analyst,51519,GB,50,GB,Large,Hybrid
2021,Mid,Full-time,Research Scientist,187442,CA,100,CA,Large,Remote
2021,Senior,Full-time,Data Engineer,115000,US,100,US,Small,Remote
2021,Senior,Full-time,Data Engineer,150000,US,100,US,Medium,Remote
2021,Entry,Full-time,Data Engineer,30428,IN,100,IN,Large,Remote
2021,Senior,Full-time,Machine Learning Engineer,94564,DE,50,DE,Large,Hybrid
2021,Senior,Full-time,Director of Data Engineering,113476,GB,100,GB,Medium,Remote
2021,Senior,Full-time,Lead Data Engineer,103160,GB,100,GB,Small,Remote
2021,Entry,Part-time,AI Scientist,12000,PK,100,US,Medium,Remote
2021,Mid,Full-time,Data Engineer,45391,NL,100,NL,Large,Remote
2021,Entry,Full-time,Machine Learning Scientist,225000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Scientist,50000,NG,100,NG,Large,Remote
2021,Mid,Full-time,Data Science Engineer,40189,GR,100,GR,Medium,Remote
2021,Entry,Full-time,Data Analyst,90000,US,100,US,Small,Remote
2021,Mid,Full-time,Data Engineer,200000,US,100,US,Large,Remote
2021,Mid,Full-time,Big Data Engineer,60000,ES,50,RO,Medium,Hybrid
2021,Senior,Full-time,Principal Data Engineer,200000,US,100,US,Medium,Remote
2021,Entry,Full-time,Data Analyst,50000,US,100,US,Medium,Remote
2021,Entry,Full-time,Applied Data Scientist,110037,GB,0,GB,Large,Onsite
2021,Entry,Part-time,Data Analyst,10354,ES,50,ES,Medium,Hybrid
2021,Mid,Full-time,Principal Data Scientist,151000,US,100,US,Large,Remote
2021,Senior,Full-time,Machine Learning Scientist,120000,US,50,US,Small,Hybrid
2021,Mid,Full-time,Data Scientist,9466,IN,0,IN,Small,Onsite
2021,Entry,Full-time,Machine Learning Engineer,20000,IN,100,IN,Small,Remote
2021,Senior,Full-time,Lead Data Scientist,40570,IN,50,IN,Large,Hybrid
2021,Entry,Full-time,Machine Learning Developer,100000,IQ,50,IQ,Small,Hybrid
2021,Entry,Full-time,Data Scientist,49646,FR,50,FR,Medium,Hybrid
2021,Mid,Full-time,Applied Machine Learning Scientist,38400,VN,100,US,Medium,Remote
2021,Senior,Full-time,Computer Vision Engineer,24000,BR,100,BR,Medium,Remote
2021,Entry,Full-time,Data Scientist,100000,US,0,US,Small,Onsite
2021,Mid,Full-time,Data Analyst,90000,US,100,US,Medium,Remote
2021,Mid,Full-time,ML Engineer,63711,JP,50,JP,Small,Hybrid
2021,Mid,Full-time,ML Engineer,77364,JP,50,JP,Small,Hybrid
2021,Senior,Full-time,Principal Data Scientist,220000,US,0,US,Large,Onsite
2021,Entry,Full-time,Data Scientist,80000,US,100,US,Medium,Remote
2021,Mid,Full-time,Data Analyst,135000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Science Manager,240000,US,0,US,Large,Onsite
2021,Senior,Full-time,Data Engineering Manager,150000,US,0,US,Large,Onsite
2021,Mid,Full-time,Data Scientist,82500,US,100,US,Small,Remote
2021,Mid,Full-time,Data Engineer,100000,US,100,US,Large,Remote
2021,Senior,Full-time,Machine Learning Engineer,82744,BE,50,BE,Medium,Hybrid
2021,Mid,Full-time,Research Scientist,62649,FR,50,FR,Medium,Hybrid
2021,Mid,Full-time,Data Engineer,90000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Engineering Manager,153000,US,100,US,Large,Remote
2021,Senior,Full-time,Cloud Data Engineer,160000,BR,100,US,Small,Remote
2021,Senior,Full-time,Director of Data Science,168000,JP,0,JP,Small,Onsite
2021,Mid,Full-time,Data Scientist,150000,US,100,US,Medium,Remote
2021,Mid,Full-time,Data Scientist,75774,CA,100,CA,Large,Remote
2021,Entry,Full-time,Data Scientist,13400,UA,100,UA,Large,Remote
2021,Senior,Full-time,Data Science Manager,144000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Science Engineer,127221,CA,50,CA,Large,Hybrid
2021,Mid,Full-time,Data Scientist,119059,SG,100,IL,Medium,Remote
2021,Mid,Full-time,Applied Machine Learning Scientist,423000,US,50,US,Large,Hybrid
2021,Senior,Full-time,Data Analytics Manager,120000,US,100,US,Medium,Remote
2021,Entry,Full-time,Machine Learning Engineer,125000,US,100,US,Small,Remote
2021,Executive,Full-time,Head of Data,230000,RU,50,RU,Large,Hybrid
2021,Executive,Full-time,Head of Data Science,85000,RU,0,RU,Medium,Onsite
2021,Mid,Full-time,Data Engineer,28369,MT,50,MT,Large,Hybrid
2021,Entry,Full-time,Data Science Consultant,63831,DE,50,DE,Large,Hybrid
2021,Executive,Full-time,Director of Data Science,130026,DE,50,DE,Medium,Hybrid
2021,Senior,Full-time,Data Specialist,165000,US,100,US,Large,Remote
2021,Entry,Full-time,Data Engineer,80000,US,100,US,Large,Remote
2021,Executive,Full-time,Director of Data Science,250000,US,0,US,Large,Onsite
2021,Entry,Full-time,BI Data Analyst,55000,US,50,US,Small,Hybrid
2021,Mid,Full-time,Data Architect,150000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Architect,170000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Engineer,82528,GB,100,GB,Large,Remote
2021,Entry,Full-time,Data Analyst,60000,US,100,US,Small,Remote
2021,Senior,Full-time,Principal Data Scientist,235000,US,100,US,Large,Remote
2021,Senior,Full-time,Research Scientist,60757,PT,50,PT,Large,Hybrid
2021,Senior,Full-time,Data Engineering Manager,174000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Scientist,2859,MX,0,MX,Small,Onsite
2021,Mid,Full-time,Data Scientist,40038,CL,100,CL,Large,Remote
2021,Entry,Full-time,Machine Learning Engineer,81000,US,50,US,Small,Hybrid
2021,Mid,Full-time,Data Scientist,5679,IN,100,US,Small,Remote
2021,Mid,Full-time,Big Data Engineer,22611,IN,0,IN,Large,Onsite
2021,Mid,Full-time,Data Scientist,90734,DE,50,DE,Large,Hybrid
2021,Mid,Full-time,Data Engineer,26005,RO,0,US,Large,Onsite
2021,Senior,Full-time,Finance Data Analyst,61896,GB,50,GB,Large,Hybrid
2021,Mid,Freelance,Machine Learning Scientist,12000,PK,50,PK,Medium,Hybrid
2021,Mid,Full-time,Data Engineer,4000,IR,100,IR,Medium,Remote
2021,Senior,Full-time,Data Analytics Engineer,50000,VN,100,GB,Medium,Remote
2021,Executive,Full-time,Data Science Consultant,69741,FR,100,ES,Small,Remote
2021,Senior,Full-time,Data Engineer,76833,RO,50,GB,Small,Hybrid
2021,Mid,Full-time,Machine Learning Engineer,74000,JP,50,JP,Small,Hybrid
2021,Senior,Full-time,Data Science Manager,152000,US,100,FR,Large,Remote
2021,Entry,Full-time,Machine Learning Engineer,21844,CO,50,CO,Medium,Hybrid
2021,Mid,Full-time,Big Data Engineer,18000,MD,0,MD,Small,Onsite
2021,Senior,Full-time,Data Science Manager,174000,US,100,US,Large,Remote
2021,Senior,Full-time,Research Scientist,96113,CA,50,CA,Large,Hybrid
2021,Mid,Full-time,Data Scientist,147000,US,50,US,Large,Hybrid
2021,Entry,Full-time,BI Data Analyst,9272,KE,100,KE,Small,Remote
2021,Senior,Full-time,Machine Learning Engineer,24342,IN,100,IN,Large,Remote
2021,Senior,Full-time,Data Science Manager,54094,IN,50,US,Large,Hybrid
2021,Entry,Full-time,Data Science Consultant,90000,US,100,US,Small,Remote
2021,Mid,Full-time,Data Scientist,61467,DE,50,AT,Medium,Hybrid
2021,Senior,Full-time,Machine Learning Infrastructure Engineer,195000,US,100,US,Medium,Remote
2021,Mid,Full-time,Data Scientist,37825,ES,100,ES,Large,Remote
2021,Senior,Full-time,Research Scientist,50000,FR,100,US,Small,Remote
2021,Mid,Full-time,Data Scientist,160000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Scientist,12901,BR,0,BR,Small,Onsite
2021,Senior,Full-time,Machine Learning Engineer,200000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Engineer,165000,US,0,US,Medium,Onsite
2021,Mid,Freelance,Data Engineer,20000,IT,0,US,Large,Onsite
2021,Senior,Full-time,Data Analytics Manager,120000,US,0,US,Large,Onsite
2021,Mid,Full-time,Machine Learning Engineer,24823,SI,50,SI,Large,Hybrid
2021,Mid,Full-time,Research Scientist,56738,FR,50,FR,Small,Hybrid
2021,Mid,Full-time,Data Engineer,66022,HK,50,GB,Small,Hybrid
2021,Entry,Full-time,Big Data Engineer,5882,IN,0,CH,Large,Onsite
2021,Entry,Full-time,Machine Learning Engineer,24823,DE,50,DE,Medium,Hybrid
2021,Senior,Full-time,Principal Data Engineer,185000,US,100,US,Large,Remote
2021,Entry,Part-time,Computer Vision Engineer,28609,DK,50,DK,Small,Hybrid
2021,Mid,Full-time,Machine Learning Engineer,88654,BE,100,BE,Medium,Remote
2021,Senior,Full-time,Data Analytics Manager,140000,US,100,US,Large,Remote
2021,Mid,Full-time,Machine Learning Engineer,46597,PL,100,PL,Large,Remote
2021,Mid,Full-time,Data Scientist,116914,GB,50,GB,Large,Hybrid
2021,Mid,Full-time,Data Scientist,33808,IN,0,IN,Medium,Onsite
2021,Mid,Full-time,Data Scientist,56256,GB,50,GB,Large,Hybrid
2021,Senior,Full-time,Machine Learning Scientist,225000,US,100,CA,Large,Remote
2021,Executive,Contract,Principal Data Scientist,416000,US,100,US,Small,Remote
2021,Senior,Full-time,Data Scientist,87738,CA,100,CA,Small,Remote
2021,Mid,Full-time,Data Scientist,88654,DE,50,DE,Large,Hybrid
2021,Senior,Full-time,Data Scientist,135000,US,0,US,Large,Onsite
2021,Senior,Full-time,Data Analyst,71786,CA,100,CA,Medium,Remote
2021,Entry,Full-time,Big Data Engineer,16228,IN,100,IN,Large,Remote
2021,Senior,Full-time,ML Engineer,256000,US,100,US,Small,Remote
2021,Senior,Full-time,Director of Data Engineering,200000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Analyst,200000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Architect,180000,US,100,US,Large,Remote
2021,Mid,Full-time,Head of Data Science,110000,US,0,US,Small,Onsite
2021,Mid,Full-time,Research Scientist,63810,CA,100,CA,Medium,Remote
2021,Mid,Full-time,Data Scientist,46809,ES,100,ES,Medium,Remote
2021,Entry,Full-time,Data Scientist,4000,VN,0,VN,Medium,Onsite
2021,Entry,Full-time,Data Engineer,21637,IN,50,IN,Medium,Hybrid
2021,Senior,Full-time,Data Scientist,103691,CA,100,CA,Large,Remote
2021,Mid,Full-time,Data Analyst,80000,US,100,US,Large,Remote
2021,Mid,Full-time,Data Engineer,110000,US,100,US,Large,Remote
2021,Senior,Full-time,Data Scientist,165000,US,100,US,Large,Remote
2021,Entry,Full-time,AI Scientist,18053,IN,100,AS,Small,Remote
2021,Mid,Full-time,Data Engineer,72212,GB,50,GB,Large,Hybrid
2021,Entry,Full-time,Data Scientist,36643,FR,50,FR,Large,Hybrid
2021,Mid,Full-time,Data Engineer,12103,TR,0,TR,Medium,Onsite
2021,Senior,Full-time,Data Engineer,96282,GB,50,GB,Large,Hybrid
2021,Senior,Full-time,Principal Data Analyst,170000,US,100,US,Medium,Remote
2021,Mid,Full-time,Data Scientist,115000,US,50,US,Large,Hybrid
2021,Entry,Full-time,Data Scientist,90000,US,100,US,Small,Remote
2021,Executive,Full-time,Principal Data Engineer,600000,US,100,US,Large,Remote
2021,Entry,Full-time,Data Scientist,28399,IN,100,IN,Medium,Remote
2021,Mid,Full-time,Data Analyst,93000,US,100,US,Large,Remote
2021,Senior,Full-time,Big Data Architect,99703,CA,50,CA,Medium,Hybrid
2021,Senior,Full-time,Principal Data Scientist,173762,DE,100,DE,Medium,Remote
2021,Senior,Full-time,Machine Learning Engineer,185000,US,50,US,Large,Hybrid
2021,Executive,Full-time,Director of Data Science,141846,DE,0,DE,Large,Onsite
2021,Mid,Full-time,Data Scientist,130000,US,50,US,Large,Hybrid
2021,Senior,Full-time,Data Analyst,63831,DE,50,DE,Large,Hybrid
2021,Mid,Full-time,Data Scientist,16904,IN,100,IN,Small,Remote
2021,Senior,Full-time,Machine Learning Engineer,66265,IN,0,IN,Large,Onsite
2021,Mid,Full-time,Data Scientist,25532,RS,100,DE,Small,Remote
2021,Senior,Full-time,Lead Data Engineer,160000,PR,50,US,Small,Hybrid
2021,Mid,Full-time,Data Engineer,93150,US,0,US,Medium,Onsite
2021,Mid,Full-time,Data Engineer,111775,US,0,US,Medium,Onsite
2021,Mid,Full-time,Data Engineer,28016,TR,100,TR,Medium,Remote
2021,Entry,Full-time,Data Engineer,65013,DE,50,DE,Medium,Hybrid
2021,Entry,Full-time,Data Engineer,72500,US,100,US,Large,Remote
2021,Senior,Full-time,Computer Vision Engineer,18907,BR,0,BR,Medium,Onsite
2021,Entry,Full-time,Data Science Consultant,76833,DE,0,DE,Large,Onsite
2021,Entry,Full-time,Machine Learning Engineer,85000,NL,100,DE,Small,Remote
2021,Senior,Full-time,Data Scientist,77684,FR,50,FR,Medium,Hybrid
2021,Entry,Full-time,Data Scientist,100000,US,100,US,Medium,Remote
2021,Entry,Full-time,Data Scientist,58000,US,50,US,Large,Hybrid
2021,Senior,Full-time,AI Scientist,55000,ES,100,ES,Large,Remote
2021,Senior,Full-time,Data Scientist,20171,TR,50,TR,Large,Hybrid
2021,Entry,Full-time,Business Data Analyst,59102,LU,100,LU,Large,Remote
2021,Mid,Full-time,Data Engineer,112000,US,100,US,Large,Remote
2021,Entry,Full-time,Research Scientist,100000,JE,0,CN,Large,Onsite
2021,Mid,Part-time,Data Engineer,69741,NL,100,NL,Large,Remote
2021,Senior,Contract,Staff Data Scientist,105000,US,100,US,Medium,Remote
2021,Mid,Full-time,Research Scientist,69999,CZ,50,CZ,Large,Hybrid
2021,Senior,Full-time,Data Science Manager,94665,IN,50,IN,Large,Hybrid
2021,Senior,Full-time,Head of Data,102839,SI,100,SI,Large,Remote
2021,Mid,Full-time,Data Scientist,109000,US,50,US,Large,Hybrid
2021,Mid,Full-time,Machine Learning Engineer,51064,IT,50,IT,Large,Hybrid
2022,Senior,Full-time,Data Engineer,135000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,155000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,120600,US,100,US,Medium,Remote
2022,Mid,Full-time,Data Scientist,130000,US,0,US,Medium,Onsite
2022,Mid,Full-time,Data Scientist,90000,US,0,US,Medium,Onsite
2022,Mid,Full-time,Data Engineer,170000,US,100,US,Medium,Remote
2022,Mid,Full-time,Data Engineer,150000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,102100,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,84900,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,136620,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,99360,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,117789,GB,0,GB,Medium,Onsite
2022,Senior,Full-time,Data Scientist,104702,GB,0,GB,Medium,Onsite
2022,Senior,Full-time,Data Scientist,146000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,123000,US,100,US,Medium,Remote
2022,Entry,Full-time,Data Engineer,52351,GB,100,GB,Medium,Remote
2022,Senior,Full-time,Data Analyst,99000,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Analyst,116000,US,0,US,Medium,Onsite
2022,Mid,Full-time,Data Analyst,106260,US,0,US,Medium,Onsite
2022,Mid,Full-time,Data Analyst,126500,US,0,US,Medium,Onsite
2022,Executive,Full-time,Data Engineer,242000,US,100,US,Medium,Remote
2022,Executive,Full-time,Data Engineer,200000,US,100,US,Medium,Remote
2022,Mid,Full-time,Data Scientist,65438,GB,0,GB,Medium,Onsite
2022,Mid,Full-time,Data Scientist,39263,GB,0,GB,Medium,Onsite
2022,Mid,Full-time,Data Engineer,78526,GB,0,GB,Medium,Onsite
2022,Mid,Full-time,Data Engineer,52351,GB,0,GB,Medium,Onsite
2022,Senior,Full-time,Data Scientist,165220,US,100,US,Medium,Remote
2022,Entry,Full-time,Data Engineer,45807,GB,100,GB,Medium,Remote
2022,Senior,Full-time,Data Scientist,120160,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,90320,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,181940,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Engineer,132320,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Engineer,220110,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Engineer,160080,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Scientist,180000,US,0,US,Large,Onsite
2022,Senior,Full-time,Data Scientist,120000,US,0,US,Large,Onsite
2022,Senior,Full-time,Data Analyst,124190,US,100,US,Medium,Remote
2022,Executive,Full-time,Data Analyst,130000,US,100,US,Medium,Remote
2022,Executive,Full-time,Data Analyst,110000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,170000,US,100,US,Medium,Remote
2022,Mid,Full-time,Data Analyst,115500,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,112900,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,165400,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,132320,US,100,US,Medium,Remote
2022,Mid,Full-time,Data Analyst,167000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,243900,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,136600,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,109280,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,128875,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,93700,US,100,US,Medium,Remote
2022,Executive,Full-time,Head of Data Science,224000,US,100,US,Medium,Remote
2022,Executive,Full-time,Head of Data Science,167875,US,100,US,Medium,Remote
2022,Executive,Full-time,Analytics Engineer,175000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,156600,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,108800,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Scientist,95550,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Engineer,113000,US,0,US,Large,Onsite
2022,Senior,Full-time,Data Analyst,135000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Science Manager,161342,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Science Manager,137141,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,167000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,78526,GB,0,GB,Medium,Onsite
2022,Senior,Full-time,Data Engineer,65438,GB,0,GB,Medium,Onsite
2022,Senior,Full-time,Data Scientist,150000,US,0,US,Medium,Onsite
2022,Senior,Full-time,Data Scientist,211500,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Architect,192400,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Architect,90700,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Analyst,130000,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Analyst,61300,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Engineer,160000,US,0,US,Large,Onsite
2022,Senior,Full-time,Data Scientist,138600,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Engineer,136000,US,0,US,Medium,Onsite
2022,Mid,Full-time,Data Analyst,58000,US,0,US,Small,Onsite
2022,Executive,Full-time,Analytics Engineer,135000,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,170000,US,100,US,Medium,Remote
2022,Senior,Full-time,Machine Learning Engineer,189650,US,0,US,Medium,Onsite
2022,Senior,Full-time,Machine Learning Engineer,164996,US,0,US,Medium,Onsite
